,activation,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation neg_mean_squared_error
0,sigmoid,32.0,1000,0.0001,0.3,0.05,Adam,"[10, 5]",-7.974581419280166
1,sigmoid,32.0,1000,0.0001,0.5,0.05,Adam,"[10, 5]",-7.974581419280166
2,sigmoid,32.0,1000,0.0001,0.1,0.05,Adam,"[10, 5]",-7.974581419280166
3,sigmoid,32.0,1000,0.0001,0.01,0.05,Adam,"[10, 5]",-7.974581419280166
4,sigmoid,32.0,1000,0.0001,0.001,0.05,Adam,"[10, 5]",-7.974581419280166
5,sigmoid,32.0,1000,0.0001,0.3,0.001,Adam,"[10, 5]",-8.132991023327213
6,sigmoid,32.0,1000,0.0001,0.1,0.001,Adam,"[10, 5]",-8.132991023327213
7,sigmoid,32.0,1000,0.0001,0.001,0.001,Adam,"[10, 5]",-8.132991023327213
8,sigmoid,32.0,1000,0.0001,0.01,0.001,Adam,"[10, 5]",-8.132991023327213
9,sigmoid,32.0,1000,0.0001,0.5,0.001,Adam,"[10, 5]",-8.132991023327213
10,sigmoid,32.0,1000,0.0001,0.1,0.0001,Adam,"[10, 5]",-8.142341606733385
11,sigmoid,32.0,1000,0.0001,0.01,0.0001,Adam,"[10, 5]",-8.142341606733385
12,sigmoid,32.0,1000,0.0001,0.3,0.0001,Adam,"[10, 5]",-8.142341606733385
13,sigmoid,32.0,1000,0.0001,0.5,0.0001,Adam,"[10, 5]",-8.142341606733385
14,sigmoid,32.0,1000,0.0001,0.001,0.0001,Adam,"[10, 5]",-8.142341606733385
15,sigmoid,32.0,1000,0.0001,0.01,0.05,Adam,"[5, 10]",-8.189180848544813
16,sigmoid,32.0,1000,0.0001,0.001,0.05,Adam,"[5, 10]",-8.189180848544813
17,sigmoid,32.0,1000,0.0001,0.1,0.05,Adam,"[5, 10]",-8.189180848544813
18,sigmoid,32.0,1000,0.0001,0.3,0.05,Adam,"[5, 10]",-8.189180848544813
19,sigmoid,32.0,1000,0.0001,0.5,0.05,Adam,"[5, 10]",-8.189180848544813
20,sigmoid,32.0,1000,0.0001,0.01,0.01,Adam,"[10, 5]",-8.22866923041885
21,sigmoid,32.0,1000,0.0001,0.5,0.01,Adam,"[10, 5]",-8.22866923041885
22,sigmoid,32.0,1000,0.0001,0.3,0.01,Adam,"[10, 5]",-8.22866923041885
23,sigmoid,32.0,1000,0.0001,0.001,0.01,Adam,"[10, 5]",-8.22866923041885
24,sigmoid,32.0,1000,0.0001,0.1,0.01,Adam,"[10, 5]",-8.22866923041885
25,sigmoid,,1000,0.0001,0.001,0.05,Adam,"[5, 10]",-8.233618017013777
26,sigmoid,,1000,0.0001,0.01,0.05,Adam,"[5, 10]",-8.233618017013777
27,sigmoid,,1000,0.0001,0.3,0.05,Adam,"[5, 10]",-8.233618017013777
