,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation neg_mean_squared_error
0,sigmoid,32.0,1000,0.0001,0.3,0.05,0.9,False,SGD,"[10, 5]",-7.974581419280166
1,sigmoid,32.0,1000,0.0001,0.1,0.05,0.5,True,SGD,"[10, 5]",-7.974581419280166
2,sigmoid,32.0,1000,0.0001,0.001,0.05,0.9,False,SGD,"[10, 5]",-7.974581419280166
3,sigmoid,32.0,1000,0.0001,0.001,0.05,0.9,True,SGD,"[10, 5]",-7.974581419280166
4,sigmoid,32.0,1000,0.0001,0.001,0.05,0.5,False,SGD,"[10, 5]",-7.974581419280166
5,sigmoid,32.0,1000,0.0001,0.001,0.05,0.5,True,SGD,"[10, 5]",-7.974581419280166
6,sigmoid,32.0,1000,0.0001,0.1,0.05,0.9,False,SGD,"[10, 5]",-7.974581419280166
7,sigmoid,32.0,1000,0.0001,0.01,0.05,0.5,True,SGD,"[10, 5]",-7.974581419280166
8,sigmoid,32.0,1000,0.0001,0.1,0.05,0.9,True,SGD,"[10, 5]",-7.974581419280166
9,sigmoid,32.0,1000,0.0001,0.01,0.05,0.9,True,SGD,"[10, 5]",-7.974581419280166
10,sigmoid,32.0,1000,0.0001,0.01,0.05,0.9,False,SGD,"[10, 5]",-7.974581419280166
11,sigmoid,32.0,1000,0.0001,0.1,0.05,0.5,False,SGD,"[10, 5]",-7.974581419280166
12,sigmoid,32.0,1000,0.0001,0.3,0.05,0.5,True,SGD,"[10, 5]",-7.974581419280166
13,sigmoid,32.0,1000,0.0001,0.01,0.05,0.5,False,SGD,"[10, 5]",-7.974581419280166
14,sigmoid,32.0,1000,0.0001,0.5,0.05,0.5,False,SGD,"[10, 5]",-7.974581419280166
15,sigmoid,32.0,1000,0.0001,0.5,0.05,0.9,True,SGD,"[10, 5]",-7.974581419280166
16,sigmoid,32.0,1000,0.0001,0.3,0.05,0.9,True,SGD,"[10, 5]",-7.974581419280166
17,sigmoid,32.0,1000,0.0001,0.5,0.05,0.9,False,SGD,"[10, 5]",-7.974581419280166
18,sigmoid,32.0,1000,0.0001,0.5,0.05,0.5,True,SGD,"[10, 5]",-7.974581419280166
19,sigmoid,32.0,1000,0.0001,0.3,0.05,0.5,False,SGD,"[10, 5]",-7.974581419280166
20,sigmoid,32.0,1000,0.0001,0.001,0.001,0.5,True,SGD,"[10, 5]",-8.132991023327213
21,sigmoid,32.0,1000,0.0001,0.5,0.001,0.9,True,SGD,"[10, 5]",-8.132991023327213
22,sigmoid,32.0,1000,0.0001,0.5,0.001,0.9,False,SGD,"[10, 5]",-8.132991023327213
23,sigmoid,32.0,1000,0.0001,0.01,0.001,0.5,False,SGD,"[10, 5]",-8.132991023327213
24,sigmoid,32.0,1000,0.0001,0.01,0.001,0.5,True,SGD,"[10, 5]",-8.132991023327213
25,sigmoid,32.0,1000,0.0001,0.3,0.001,0.5,True,SGD,"[10, 5]",-8.132991023327213
26,sigmoid,32.0,1000,0.0001,0.1,0.001,0.9,True,SGD,"[10, 5]",-8.132991023327213
27,sigmoid,32.0,1000,0.0001,0.1,0.001,0.9,False,SGD,"[10, 5]",-8.132991023327213
28,sigmoid,32.0,1000,0.0001,0.3,0.001,0.5,False,SGD,"[10, 5]",-8.132991023327213
29,sigmoid,32.0,1000,0.0001,0.3,0.001,0.9,False,SGD,"[10, 5]",-8.132991023327213
30,sigmoid,32.0,1000,0.0001,0.5,0.001,0.5,True,SGD,"[10, 5]",-8.132991023327213
31,sigmoid,32.0,1000,0.0001,0.01,0.001,0.9,True,SGD,"[10, 5]",-8.132991023327213
32,sigmoid,32.0,1000,0.0001,0.3,0.001,0.9,True,SGD,"[10, 5]",-8.132991023327213
33,sigmoid,32.0,1000,0.0001,0.01,0.001,0.9,False,SGD,"[10, 5]",-8.132991023327213
34,sigmoid,32.0,1000,0.0001,0.1,0.001,0.5,False,SGD,"[10, 5]",-8.132991023327213
35,sigmoid,32.0,1000,0.0001,0.5,0.001,0.5,False,SGD,"[10, 5]",-8.132991023327213
36,sigmoid,32.0,1000,0.0001,0.1,0.001,0.5,True,SGD,"[10, 5]",-8.132991023327213
37,sigmoid,32.0,1000,0.0001,0.001,0.001,0.5,False,SGD,"[10, 5]",-8.132991023327213
38,sigmoid,32.0,1000,0.0001,0.001,0.001,0.9,False,SGD,"[10, 5]",-8.132991023327213
39,sigmoid,32.0,1000,0.0001,0.001,0.001,0.9,True,SGD,"[10, 5]",-8.132991023327213
40,sigmoid,32.0,1000,0.0001,0.1,0.0001,0.9,True,SGD,"[10, 5]",-8.142341606733385
41,sigmoid,32.0,1000,0.0001,0.1,0.0001,0.5,False,SGD,"[10, 5]",-8.142341606733385
42,sigmoid,32.0,1000,0.0001,0.01,0.0001,0.5,False,SGD,"[10, 5]",-8.142341606733385
43,sigmoid,32.0,1000,0.0001,0.1,0.0001,0.5,True,SGD,"[10, 5]",-8.142341606733385
44,sigmoid,32.0,1000,0.0001,0.1,0.0001,0.9,False,SGD,"[10, 5]",-8.142341606733385
45,sigmoid,32.0,1000,0.0001,0.01,0.0001,0.9,True,SGD,"[10, 5]",-8.142341606733385
46,sigmoid,32.0,1000,0.0001,0.3,0.0001,0.5,False,SGD,"[10, 5]",-8.142341606733385
47,sigmoid,32.0,1000,0.0001,0.01,0.0001,0.9,False,SGD,"[10, 5]",-8.142341606733385
48,sigmoid,32.0,1000,0.0001,0.3,0.0001,0.5,True,SGD,"[10, 5]",-8.142341606733385
49,sigmoid,32.0,1000,0.0001,0.3,0.0001,0.9,True,SGD,"[10, 5]",-8.142341606733385
50,sigmoid,32.0,1000,0.0001,0.3,0.0001,0.9,False,SGD,"[10, 5]",-8.142341606733385
51,sigmoid,32.0,1000,0.0001,0.001,0.0001,0.9,False,SGD,"[10, 5]",-8.142341606733385
52,sigmoid,32.0,1000,0.0001,0.01,0.0001,0.5,True,SGD,"[10, 5]",-8.142341606733385
53,sigmoid,32.0,1000,0.0001,0.001,0.0001,0.5,True,SGD,"[10, 5]",-8.142341606733385
54,sigmoid,32.0,1000,0.0001,0.5,0.0001,0.9,True,SGD,"[10, 5]",-8.142341606733385
55,sigmoid,32.0,1000,0.0001,0.5,0.0001,0.9,False,SGD,"[10, 5]",-8.142341606733385
56,sigmoid,32.0,1000,0.0001,0.5,0.0001,0.5,False,SGD,"[10, 5]",-8.142341606733385
57,sigmoid,32.0,1000,0.0001,0.001,0.0001,0.9,True,SGD,"[10, 5]",-8.142341606733385
58,sigmoid,32.0,1000,0.0001,0.5,0.0001,0.5,True,SGD,"[10, 5]",-8.142341606733385
59,sigmoid,32.0,1000,0.0001,0.001,0.0001,0.5,False,SGD,"[10, 5]",-8.142341606733385
60,sigmoid,32.0,1000,0.0001,0.3,0.05,0.5,False,SGD,"[5, 10]",-8.189180848544813
61,sigmoid,32.0,1000,0.0001,0.1,0.05,0.5,True,SGD,"[5, 10]",-8.189180848544813
62,sigmoid,32.0,1000,0.0001,0.01,0.05,0.5,False,SGD,"[5, 10]",-8.189180848544813
63,sigmoid,32.0,1000,0.0001,0.1,0.05,0.5,False,SGD,"[5, 10]",-8.189180848544813
64,sigmoid,32.0,1000,0.0001,0.3,0.05,0.5,True,SGD,"[5, 10]",-8.189180848544813
65,sigmoid,32.0,1000,0.0001,0.5,0.05,0.5,True,SGD,"[5, 10]",-8.189180848544813
66,sigmoid,32.0,1000,0.0001,0.01,0.05,0.9,True,SGD,"[5, 10]",-8.189180848544813
67,sigmoid,32.0,1000,0.0001,0.1,0.05,0.9,True,SGD,"[5, 10]",-8.189180848544813
68,sigmoid,32.0,1000,0.0001,0.1,0.05,0.9,False,SGD,"[5, 10]",-8.189180848544813
69,sigmoid,32.0,1000,0.0001,0.01,0.05,0.9,False,SGD,"[5, 10]",-8.189180848544813
70,sigmoid,32.0,1000,0.0001,0.01,0.05,0.5,True,SGD,"[5, 10]",-8.189180848544813
71,sigmoid,32.0,1000,0.0001,0.3,0.05,0.9,True,SGD,"[5, 10]",-8.189180848544813
72,sigmoid,32.0,1000,0.0001,0.5,0.05,0.9,False,SGD,"[5, 10]",-8.189180848544813
73,sigmoid,32.0,1000,0.0001,0.5,0.05,0.5,False,SGD,"[5, 10]",-8.189180848544813
74,sigmoid,32.0,1000,0.0001,0.3,0.05,0.9,False,SGD,"[5, 10]",-8.189180848544813
75,sigmoid,32.0,1000,0.0001,0.001,0.05,0.5,True,SGD,"[5, 10]",-8.189180848544813
76,sigmoid,32.0,1000,0.0001,0.5,0.05,0.9,True,SGD,"[5, 10]",-8.189180848544813
77,sigmoid,32.0,1000,0.0001,0.001,0.05,0.5,False,SGD,"[5, 10]",-8.189180848544813
78,sigmoid,32.0,1000,0.0001,0.001,0.05,0.9,True,SGD,"[5, 10]",-8.189180848544813
79,sigmoid,32.0,1000,0.0001,0.001,0.05,0.9,False,SGD,"[5, 10]",-8.189180848544813
80,sigmoid,32.0,1000,0.0001,0.3,0.01,0.9,False,SGD,"[10, 5]",-8.22866923041885
81,sigmoid,32.0,1000,0.0001,0.1,0.01,0.9,True,SGD,"[10, 5]",-8.22866923041885
82,sigmoid,32.0,1000,0.0001,0.5,0.01,0.9,False,SGD,"[10, 5]",-8.22866923041885
83,sigmoid,32.0,1000,0.0001,0.1,0.01,0.5,True,SGD,"[10, 5]",-8.22866923041885
