,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation neg_mean_squared_error
0,,1000,0.0001,0.1,0.01,SGM,"[16, 32]",-8.663844533787715
1,,1000,0.0001,0.1,0.0001,SGM,"[16, 32]",-8.670981442317153
2,,1000,0.0001,0.1,0.0,SGM,"[16, 32]",-8.675695590225114
3,,1000,0.0001,0.1,0.001,SGM,"[16, 32]",-8.679429489377844
4,,1000,0.0001,0.05,0.01,SGM,"[16, 32]",-9.016440976256968
5,,1000,0.0001,0.05,0.001,SGM,"[16, 32]",-9.019317365351522
6,,1000,0.0001,0.05,0.0,SGM,"[16, 32]",-9.032419685968838
7,,1000,0.0001,0.05,0.0001,SGM,"[16, 32]",-9.04639517279989
8,,1000,0.0001,0.1,0.01,SGM,"[30, 50]",-9.451508016066265
9,,1000,0.0001,0.1,0.0,SGM,"[30, 50]",-9.4819197725303
10,,1000,0.0001,0.1,0.0001,SGM,"[30, 50]",-9.511555922509158
11,,1000,0.0001,0.1,0.001,SGM,"[30, 50]",-9.534106382058823
12,,1000,0.0001,0.05,0.0001,SGM,"[30, 50]",-9.913701594595615
13,,1000,0.0001,0.05,0.01,SGM,"[30, 50]",-9.923043254078989
14,,1000,0.0001,0.05,0.0,SGM,"[30, 50]",-9.92808979345693
15,,1000,0.0001,0.05,0.001,SGM,"[30, 50]",-9.936644532110282
16,,1000,0.0001,0.1,0.001,SGM,"[5, 10]",-10.285222313893808
17,,1000,0.0001,0.1,0.0001,SGM,"[5, 10]",-10.291043461207412
18,,1000,0.0001,0.1,0.0,SGM,"[5, 10]",-10.301462477779227
19,,1000,0.0001,0.1,0.01,SGM,"[5, 10]",-10.342879374535439
20,,1000,0.0001,0.05,0.01,SGM,"[5, 10]",-18.60404360221891
21,,1000,0.0001,0.05,0.001,SGM,"[5, 10]",-18.628180661660032
22,,1000,0.0001,0.05,0.0001,SGM,"[5, 10]",-18.63102386240236
23,,1000,0.0001,0.05,0.0,SGM,"[5, 10]",-18.631469738113044
24,,1000,0.0001,0.01,0.0,SGM,"[30, 50]",-32.84878726324449
25,,1000,0.0001,0.01,0.0001,SGM,"[30, 50]",-32.84940444933538
26,,1000,0.0001,0.01,0.001,SGM,"[30, 50]",-32.85009126540742
27,,1000,0.0001,0.01,0.01,SGM,"[30, 50]",-32.859912846732584
28,,1000,0.0001,0.01,0.01,SGM,"[16, 32]",-46.07521249520935
29,,1000,0.0001,0.01,0.001,SGM,"[16, 32]",-46.19905781418837
30,,1000,0.0001,0.01,0.0001,SGM,"[16, 32]",-46.234609820106115
31,,1000,0.0001,0.01,0.0,SGM,"[16, 32]",-46.23668082618044
32,,1000,0.0001,0.005,0.0,SGM,"[30, 50]",-57.89332525754254
33,,1000,0.0001,0.005,0.0001,SGM,"[30, 50]",-57.896116823875595
34,,1000,0.0001,0.005,0.001,SGM,"[30, 50]",-57.920385836954736
35,,1000,0.0001,0.005,0.01,SGM,"[30, 50]",-58.170611028117676
36,,1000,0.0001,0.005,0.0,SGM,"[16, 32]",-81.58577478877494
37,,1000,0.0001,0.005,0.0001,SGM,"[16, 32]",-81.59189720685077
38,,1000,0.0001,0.005,0.001,SGM,"[16, 32]",-81.65869676335512
39,,1000,0.0001,0.005,0.01,SGM,"[16, 32]",-82.32253048331178
40,,1000,0.0001,0.01,0.0,SGM,"[5, 10]",-129.5707550589413
41,,1000,0.0001,0.01,0.0001,SGM,"[5, 10]",-129.58327277002132
42,,1000,0.0001,0.01,0.001,SGM,"[5, 10]",-129.692009563559
43,,1000,0.0001,0.01,0.01,SGM,"[5, 10]",-130.83166835930334
44,,1000,0.0001,0.005,0.0,SGM,"[5, 10]",-498.219517105167
45,,1000,0.0001,0.005,0.0001,SGM,"[5, 10]",-498.36790427419874
46,,1000,0.0001,0.005,0.001,SGM,"[5, 10]",-499.70473026295167
47,,1000,0.0001,0.005,0.01,SGM,"[5, 10]",-513.154501954067
48,,1000,0.0001,0.001,0.0,SGM,"[30, 50]",-1236.2682691776886
49,,1000,0.0001,0.001,0.0001,SGM,"[30, 50]",-1236.394465326432
50,,1000,0.0001,0.001,0.001,SGM,"[30, 50]",-1237.5321310631018
51,,1000,0.0001,0.001,0.01,SGM,"[30, 50]",-1248.7879967646745
52,,1000,0.0001,0.001,0.0,SGM,"[16, 32]",-1403.8520764486775
53,,1000,0.0001,0.001,0.0001,SGM,"[16, 32]",-1403.946655050919
54,,1000,0.0001,0.001,0.001,SGM,"[16, 32]",-1404.7791789569892
55,,1000,0.0001,0.001,0.01,SGM,"[16, 32]",-1412.9960745861224
56,,1000,0.0001,0.001,0.0,SGM,"[5, 10]",-1698.6097872175815
57,,1000,0.0001,0.001,0.0001,SGM,"[5, 10]",-1698.6290847654568
58,,1000,0.0001,0.001,0.001,SGM,"[5, 10]",-1698.80254012643
59,,1000,0.0001,0.001,0.01,SGM,"[5, 10]",-1700.5138297165781
