,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,solver,tol,Validation neg_mean_squared_error
0,logistic,0.5,,"[5, 10]",0.05,10000,adam,0.0001,-7.823344531484435
1,logistic,0.5,,"[5, 10]",0.02,10000,adam,0.0001,-7.823344531484435
2,logistic,0.5,,"[5, 10]",0.01,10000,adam,0.0001,-7.823344531484435
3,logistic,0.5,,"[5, 10]",0.005,10000,adam,0.0001,-7.823344531484435
4,logistic,0.3,,"[5, 10]",0.02,10000,adam,0.0001,-7.826268456271992
5,logistic,0.3,,"[5, 10]",0.01,10000,adam,0.0001,-7.826268456271992
6,logistic,0.3,,"[5, 10]",0.005,10000,adam,0.0001,-7.826268456271992
7,logistic,0.3,,"[5, 10]",0.05,10000,adam,0.0001,-7.826268456271992
8,logistic,0.2,,"[5, 10]",0.005,10000,adam,0.0001,-7.82772170405696
9,logistic,0.2,,"[5, 10]",0.05,10000,adam,0.0001,-7.82772170405696
10,logistic,0.2,,"[5, 10]",0.02,10000,adam,0.0001,-7.82772170405696
11,logistic,0.2,,"[5, 10]",0.01,10000,adam,0.0001,-7.82772170405696
12,logistic,0.1,,"[5, 10]",0.005,10000,adam,0.0001,-7.829169532226049
13,logistic,0.1,,"[5, 10]",0.01,10000,adam,0.0001,-7.829169532226049
14,logistic,0.1,,"[5, 10]",0.02,10000,adam,0.0001,-7.829169532226049
15,logistic,0.1,,"[5, 10]",0.05,10000,adam,0.0001,-7.829169532226049
16,logistic,0.1,,"[3, 5]",0.01,10000,adam,0.0001,-7.871603935725226
17,logistic,0.1,,"[3, 5]",0.005,10000,adam,0.0001,-7.871603935725226
18,logistic,0.1,,"[3, 5]",0.02,10000,adam,0.0001,-7.871603935725226
19,logistic,0.1,,"[3, 5]",0.05,10000,adam,0.0001,-7.871603935725226
20,logistic,0.5,,"[3, 5]",0.05,10000,adam,0.0001,-7.875320326852654
21,logistic,0.5,,"[3, 5]",0.02,10000,adam,0.0001,-7.875320326852654
22,logistic,0.5,,"[3, 5]",0.01,10000,adam,0.0001,-7.875320326852654
23,logistic,0.5,,"[3, 5]",0.005,10000,adam,0.0001,-7.875320326852654
24,logistic,0.3,,"[3, 5]",0.005,10000,adam,0.0001,-7.8753324173123245
25,logistic,0.3,,"[3, 5]",0.01,10000,adam,0.0001,-7.8753324173123245
26,logistic,0.3,,"[3, 5]",0.05,10000,adam,0.0001,-7.8753324173123245
27,logistic,0.3,,"[3, 5]",0.02,10000,adam,0.0001,-7.8753324173123245
28,logistic,0.2,,"[3, 5]",0.05,10000,adam,0.0001,-7.909016789935029
29,logistic,0.2,,"[3, 5]",0.02,10000,adam,0.0001,-7.909016789935029
30,logistic,0.2,,"[3, 5]",0.005,10000,adam,0.0001,-7.909016789935029
