,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
0,,1000,0.0001,0.01,0.001,Adam,"[5, 10]",1.0
1,,1000,0.0001,0.01,0.01,Adam,"[5, 10]",1.0
2,,1000,0.0001,0.01,0.0001,Adam,"[5, 10]",1.0
3,,1000,0.0001,0.01,0.0,Adam,"[5, 10]",1.0
4,,1000,0.0001,0.1,0.01,Adam,"[16, 32]",0.96
5,,1000,0.0001,0.1,0.0,Adam,"[16, 32]",0.952
6,,1000,0.0001,0.1,0.0001,Adam,"[16, 32]",0.952
7,,1000,0.0001,0.1,0.001,Adam,"[16, 32]",0.952
8,,1000,0.0001,0.1,0.001,Adam,"[5, 10]",0.944
9,,1000,0.0001,0.001,0.001,Adam,"[30, 50]",0.944
10,,1000,0.0001,0.01,0.001,Adam,"[30, 50]",0.944
11,,1000,0.0001,0.1,0.0001,Adam,"[5, 10]",0.944
12,,1000,0.0001,0.001,0.0001,Adam,"[30, 50]",0.944
13,,1000,0.0001,0.1,0.0,Adam,"[5, 10]",0.944
14,,1000,0.0001,0.01,0.0,Adam,"[30, 50]",0.944
15,,1000,0.0001,0.1,0.01,Adam,"[5, 10]",0.944
16,,1000,0.0001,0.001,0.0,Adam,"[30, 50]",0.944
17,,1000,0.0001,0.01,0.0001,Adam,"[30, 50]",0.944
18,,1000,0.0001,0.001,0.0,Adam,"[5, 10]",0.9359999999999999
19,,1000,0.0001,0.001,0.01,Adam,"[5, 10]",0.9359999999999999
20,,1000,0.0001,0.001,0.0001,Adam,"[5, 10]",0.9359999999999999
21,,1000,0.0001,0.001,0.001,Adam,"[5, 10]",0.9359999999999999
22,,1000,0.0001,0.001,0.01,Adam,"[30, 50]",0.9359999999999999
23,,1000,0.0001,0.001,0.01,Adam,"[16, 32]",0.9280000000000002
24,,1000,0.0001,0.01,0.01,Adam,"[30, 50]",0.9279999999999999
25,,1000,0.0001,0.001,0.0001,Adam,"[16, 32]",0.9120000000000001
26,,1000,0.0001,0.001,0.001,Adam,"[16, 32]",0.9120000000000001
27,,1000,0.0001,0.01,0.001,Adam,"[16, 32]",0.9120000000000001
28,,1000,0.0001,0.001,0.0,Adam,"[16, 32]",0.9120000000000001
29,,1000,0.0001,0.01,0.0,Adam,"[16, 32]",0.9120000000000001
30,,1000,0.0001,0.01,0.01,Adam,"[16, 32]",0.9120000000000001
31,,1000,0.0001,0.01,0.0001,Adam,"[16, 32]",0.9120000000000001
32,,1000,0.0001,0.1,0.0001,Adam,"[30, 50]",0.6799999999999999
33,,1000,0.0001,0.1,0.0,Adam,"[30, 50]",0.6639999999999999
34,,1000,0.0001,0.1,0.001,Adam,"[30, 50]",0.6559999999999999
35,,1000,0.0001,0.1,0.01,Adam,"[30, 50]",0.6559999999999999
