,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
0,,2000,1e-06,0.1,0.01,0.5,True,SGD,"[16, 32]",0.992
1,,2000,1e-06,0.1,0.01,0.9,False,SGD,"[5, 10]",0.992
2,,2000,1e-06,0.1,0.01,0.9,True,SGD,"[5, 10]",0.992
3,,2000,1e-06,0.01,0.01,0.9,True,SGD,"[16, 32]",0.992
4,,2000,1e-06,0.1,0.01,0.9,False,SGD,"[16, 32]",0.984
5,,2000,1e-06,0.1,0.0001,0.9,False,SGD,"[5, 10]",0.984
6,,2000,1e-06,0.1,0.01,0.5,False,SGD,"[16, 32]",0.984
7,,2000,1e-06,0.1,0.001,0.9,False,SGD,"[5, 10]",0.984
8,,2000,1e-06,0.1,0.001,0.5,True,SGD,"[16, 32]",0.984
9,,2000,1e-06,0.1,0.0,0.9,False,SGD,"[5, 10]",0.984
10,,2000,1e-06,0.1,0.001,0.5,False,SGD,"[16, 32]",0.976
11,,2000,1e-06,0.1,0.0001,0.9,False,SGD,"[16, 32]",0.976
12,,2000,1e-06,0.1,0.001,0.9,True,SGD,"[5, 10]",0.976
13,,2000,1e-06,0.1,0.0,0.9,True,SGD,"[5, 10]",0.976
14,,2000,1e-06,0.1,0.001,0.9,False,SGD,"[16, 32]",0.976
15,,2000,1e-06,0.1,0.0,0.9,False,SGD,"[16, 32]",0.976
16,,2000,1e-06,0.1,0.01,0.5,True,SGD,"[5, 10]",0.976
17,,2000,1e-06,0.1,0.0,0.5,False,SGD,"[16, 32]",0.976
18,,2000,1e-06,0.1,0.0001,0.9,True,SGD,"[5, 10]",0.976
19,,2000,1e-06,0.1,0.0001,0.5,True,SGD,"[16, 32]",0.976
20,,2000,1e-06,0.1,0.0,0.5,True,SGD,"[16, 32]",0.976
21,,2000,1e-06,0.1,0.0001,0.5,False,SGD,"[16, 32]",0.976
22,,2000,1e-06,0.1,0.01,0.0,False,SGD,"[16, 32]",0.968
23,,2000,1e-06,0.1,0.001,0.5,True,SGD,"[5, 10]",0.968
24,,2000,1e-06,0.1,0.0,0.9,True,SGD,"[16, 32]",0.968
25,,2000,1e-06,0.1,0.01,0.0,True,SGD,"[16, 32]",0.968
26,,2000,1e-06,0.1,0.0001,0.5,True,SGD,"[5, 10]",0.968
27,,2000,1e-06,0.1,0.0,0.5,True,SGD,"[5, 10]",0.968
28,,2000,1e-06,0.01,0.0001,0.9,True,SGD,"[5, 10]",0.968
29,,2000,1e-06,0.1,0.0001,0.9,True,SGD,"[16, 32]",0.968
30,,2000,1e-06,0.1,0.01,0.9,True,SGD,"[16, 32]",0.968
31,,2000,1e-06,0.01,0.01,0.9,True,SGD,"[5, 10]",0.96
32,,2000,1e-06,0.1,0.001,0.9,True,SGD,"[16, 32]",0.96
33,,2000,1e-06,0.01,0.01,0.9,False,SGD,"[16, 32]",0.96
34,,2000,1e-06,0.01,0.001,0.9,True,SGD,"[16, 32]",0.96
35,,2000,1e-06,0.1,0.001,0.5,False,SGD,"[5, 10]",0.96
36,,2000,1e-06,0.01,0.0,0.9,True,SGD,"[16, 32]",0.96
37,,2000,1e-06,0.01,0.0001,0.9,True,SGD,"[16, 32]",0.96
38,,2000,1e-06,0.1,0.01,0.5,False,SGD,"[5, 10]",0.96
39,,2000,1e-06,0.01,0.001,0.9,True,SGD,"[5, 10]",0.952
40,,2000,1e-06,0.1,0.0001,0.5,False,SGD,"[5, 10]",0.952
41,,2000,1e-06,0.01,0.0,0.9,True,SGD,"[5, 10]",0.952
42,,2000,1e-06,0.1,0.0,0.5,False,SGD,"[5, 10]",0.952
43,,2000,1e-06,0.1,0.01,0.9,True,SGD,"[30, 50]",0.9039999999999999
44,,2000,1e-06,0.1,0.0,0.0,False,SGD,"[16, 32]",0.8960000000000001
45,,2000,1e-06,0.1,0.0001,0.0,True,SGD,"[16, 32]",0.8960000000000001
46,,2000,1e-06,0.1,0.0,0.0,True,SGD,"[16, 32]",0.8960000000000001
47,,2000,1e-06,0.1,0.0001,0.0,False,SGD,"[16, 32]",0.8960000000000001
48,,2000,1e-06,0.1,0.0,0.9,True,SGD,"[30, 50]",0.8960000000000001
49,,2000,1e-06,0.1,0.01,0.9,False,SGD,"[30, 50]",0.8960000000000001
50,,2000,1e-06,0.1,0.001,0.0,False,SGD,"[16, 32]",0.8960000000000001
51,,2000,1e-06,0.01,0.0001,0.9,False,SGD,"[16, 32]",0.8960000000000001
52,,2000,1e-06,0.1,0.001,0.5,True,SGD,"[30, 50]",0.8960000000000001
53,,2000,1e-06,0.1,0.0001,0.9,True,SGD,"[30, 50]",0.8960000000000001
54,,2000,1e-06,0.1,0.01,0.5,True,SGD,"[30, 50]",0.8960000000000001
55,,2000,1e-06,0.01,0.0,0.9,False,SGD,"[16, 32]",0.8960000000000001
56,,2000,1e-06,0.1,0.001,0.9,False,SGD,"[30, 50]",0.8960000000000001
57,,2000,1e-06,0.1,0.001,0.0,True,SGD,"[16, 32]",0.8960000000000001
58,,2000,1e-06,0.1,0.001,0.9,True,SGD,"[30, 50]",0.8960000000000001
59,,2000,1e-06,0.01,0.001,0.9,False,SGD,"[16, 32]",0.8880000000000001
60,,2000,1e-06,0.1,0.01,0.5,False,SGD,"[30, 50]",0.8879999999999999
61,,2000,1e-06,0.1,0.0,0.5,False,SGD,"[30, 50]",0.8879999999999999
62,,2000,1e-06,0.1,0.0,0.9,False,SGD,"[30, 50]",0.8879999999999999
63,,2000,1e-06,0.1,0.0001,0.5,True,SGD,"[30, 50]",0.8879999999999999
64,,2000,1e-06,0.01,0.01,0.9,True,SGD,"[30, 50]",0.8879999999999999
65,,2000,1e-06,0.1,0.0001,0.9,False,SGD,"[30, 50]",0.8879999999999999
66,,2000,1e-06,0.1,0.0001,0.5,False,SGD,"[30, 50]",0.8879999999999999
67,,2000,1e-06,0.1,0.0,0.5,True,SGD,"[30, 50]",0.8879999999999999
68,,2000,1e-06,0.1,0.001,0.5,False,SGD,"[30, 50]",0.8800000000000001
69,,2000,1e-06,0.1,0.0,0.0,False,SGD,"[5, 10]",0.8720000000000001
70,,2000,1e-06,0.01,0.0,0.9,False,SGD,"[5, 10]",0.8720000000000001
71,,2000,1e-06,0.1,0.0,0.0,True,SGD,"[5, 10]",0.8720000000000001
72,,2000,1e-06,0.01,0.0001,0.9,False,SGD,"[5, 10]",0.8720000000000001
73,,2000,1e-06,0.1,0.01,0.0,True,SGD,"[5, 10]",0.8720000000000001
74,,2000,1e-06,0.1,0.0001,0.0,True,SGD,"[5, 10]",0.8720000000000001
75,,2000,1e-06,0.1,0.01,0.0,False,SGD,"[5, 10]",0.8720000000000001
76,,2000,1e-06,0.1,0.0001,0.0,False,SGD,"[5, 10]",0.8720000000000001
77,,2000,1e-06,0.01,0.0001,0.9,True,SGD,"[30, 50]",0.8719999999999999
78,,2000,1e-06,0.01,0.001,0.9,True,SGD,"[30, 50]",0.8719999999999999
79,,2000,1e-06,0.01,0.0,0.9,True,SGD,"[30, 50]",0.8719999999999999
80,,2000,1e-06,0.1,0.001,0.0,True,SGD,"[5, 10]",0.8640000000000001
81,,2000,1e-06,0.1,0.001,0.0,False,SGD,"[5, 10]",0.8640000000000001
82,,2000,1e-06,0.01,0.001,0.9,False,SGD,"[5, 10]",0.8560000000000001
83,,2000,1e-06,0.01,0.01,0.9,False,SGD,"[5, 10]",0.8560000000000001
84,,2000,1e-06,0.1,0.01,0.0,True,SGD,"[30, 50]",0.8480000000000001
85,,2000,1e-06,0.1,0.01,0.0,False,SGD,"[30, 50]",0.8480000000000001
86,,2000,1e-06,0.01,0.0001,0.9,False,SGD,"[30, 50]",0.8480000000000001
87,,2000,1e-06,0.01,0.001,0.9,False,SGD,"[30, 50]",0.8480000000000001
88,,2000,1e-06,0.1,0.001,0.0,False,SGD,"[30, 50]",0.8480000000000001
89,,2000,1e-06,0.01,0.01,0.9,False,SGD,"[30, 50]",0.8480000000000001
90,,2000,1e-06,0.01,0.0,0.9,False,SGD,"[30, 50]",0.8480000000000001
91,,2000,1e-06,0.1,0.001,0.0,True,SGD,"[30, 50]",0.8480000000000001
92,,2000,1e-06,0.1,0.0,0.0,False,SGD,"[30, 50]",0.8400000000000001
93,,2000,1e-06,0.1,0.0001,0.0,False,SGD,"[30, 50]",0.8400000000000001
94,,2000,1e-06,0.1,0.0,0.0,True,SGD,"[30, 50]",0.8400000000000001
95,,2000,1e-06,0.1,0.0001,0.0,True,SGD,"[30, 50]",0.8400000000000001
96,,2000,1e-06,0.01,0.01,0.5,True,SGD,"[16, 32]",0.776
97,,2000,1e-06,0.01,0.0,0.5,True,SGD,"[16, 32]",0.76
98,,2000,1e-06,0.01,0.001,0.5,True,SGD,"[16, 32]",0.76
99,,2000,1e-06,0.01,0.0001,0.5,True,SGD,"[16, 32]",0.76
100,,2000,1e-06,0.01,0.001,0.5,False,SGD,"[16, 32]",0.728
101,,2000,1e-06,0.01,0.0,0.5,False,SGD,"[16, 32]",0.728
102,,2000,1e-06,0.01,0.0001,0.5,False,SGD,"[16, 32]",0.728
103,,2000,1e-06,0.001,0.001,0.9,True,SGD,"[16, 32]",0.712
104,,2000,1e-06,0.001,0.0,0.9,True,SGD,"[16, 32]",0.712
105,,2000,1e-06,0.001,0.0001,0.9,True,SGD,"[16, 32]",0.712
106,,2000,1e-06,0.01,0.01,0.5,True,SGD,"[30, 50]",0.6960000000000001
107,,2000,1e-06,0.001,0.001,0.9,True,SGD,"[30, 50]",0.696
108,,2000,1e-06,0.01,0.0,0.0,True,SGD,"[16, 32]",0.696
109,,2000,1e-06,0.01,0.0001,0.0,True,SGD,"[16, 32]",0.696
110,,2000,1e-06,0.001,0.0001,0.9,False,SGD,"[16, 32]",0.696
111,,2000,1e-06,0.001,0.0001,0.9,True,SGD,"[30, 50]",0.696
112,,2000,1e-06,0.01,0.0001,0.0,False,SGD,"[16, 32]",0.696
113,,2000,1e-06,0.001,0.0,0.9,False,SGD,"[16, 32]",0.696
114,,2000,1e-06,0.001,0.0,0.9,True,SGD,"[30, 50]",0.696
115,,2000,1e-06,0.01,0.0,0.0,False,SGD,"[16, 32]",0.696
116,,2000,1e-06,0.01,0.01,0.5,False,SGD,"[16, 32]",0.6880000000000001
117,,2000,1e-06,0.001,0.001,0.9,False,SGD,"[16, 32]",0.688
118,,2000,1e-06,0.01,0.0,0.5,False,SGD,"[30, 50]",0.688
119,,2000,1e-06,0.01,0.001,0.0,False,SGD,"[16, 32]",0.688
120,,2000,1e-06,0.01,0.001,0.5,False,SGD,"[30, 50]",0.688
121,,2000,1e-06,0.01,0.001,0.0,True,SGD,"[16, 32]",0.688
122,,2000,1e-06,0.01,0.0001,0.5,False,SGD,"[30, 50]",0.688
123,,2000,1e-06,0.01,0.0001,0.5,True,SGD,"[30, 50]",0.68
124,,2000,1e-06,0.01,0.001,0.5,True,SGD,"[30, 50]",0.68
