,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
0,32.0,2000,1e-06,0.5,0.01,SGM,[5],1.0
1,32.0,2000,1e-06,0.7,0.001,SGM,[3],1.0
2,32.0,2000,1e-06,0.7,0.01,SGM,[5],1.0
3,32.0,2000,1e-06,0.1,0.001,SGM,[5],1.0
4,32.0,2000,1e-06,0.1,0.0,SGM,[5],0.992
5,32.0,2000,1e-06,0.3,0.01,SGM,[5],0.992
6,32.0,2000,1e-06,0.1,0.0001,SGM,[5],0.992
7,32.0,2000,1e-06,0.6,0.001,SGM,[3],0.984
8,32.0,2000,1e-06,0.5,0.01,SGM,[3],0.984
9,32.0,2000,1e-06,0.5,0.001,SGM,[3],0.984
10,32.0,2000,1e-06,0.3,0.0001,SGM,[3],0.984
11,32.0,2000,1e-06,0.3,0.0,SGM,[3],0.984
12,32.0,2000,1e-06,0.3,0.001,SGM,[3],0.976
13,,2000,1e-06,0.7,0.001,SGM,[3],0.976
14,,2000,1e-06,0.7,0.0,SGM,[3],0.968
15,32.0,2000,1e-06,0.3,0.001,SGM,[5],0.968
16,32.0,2000,1e-06,0.6,0.01,SGM,[3],0.968
17,,2000,1e-06,0.7,0.0001,SGM,[3],0.968
18,,2000,1e-06,0.1,0.001,SGM,[3],0.968
19,,2000,1e-06,0.3,0.001,SGM,[5],0.96
20,,2000,1e-06,0.3,0.0001,SGM,[5],0.96
21,,2000,1e-06,0.3,0.0,SGM,[5],0.96
22,,2000,1e-06,0.1,0.01,SGM,[3],0.96
23,32.0,2000,1e-06,0.3,0.0001,SGM,[5],0.96
24,32.0,2000,1e-06,0.3,0.01,SGM,[3],0.96
25,,2000,1e-06,0.3,0.01,SGM,[5],0.952
26,32.0,2000,1e-06,0.1,0.01,SGM,[5],0.952
27,32.0,2000,1e-06,0.7,0.01,SGM,[3],0.952
28,32.0,2000,1e-06,0.3,0.0,SGM,[5],0.952
29,,2000,1e-06,0.1,0.001,SGM,[5],0.944
30,32.0,2000,1e-06,0.7,0.0001,SGM,[3],0.944
31,,2000,1e-06,0.1,0.0,SGM,[3],0.944
32,,2000,1e-06,0.1,0.01,SGM,[5],0.944
33,,2000,1e-06,0.1,0.0,SGM,[5],0.944
34,,2000,1e-06,0.1,0.0001,SGM,[3],0.944
35,,2000,1e-06,0.1,0.0001,SGM,[5],0.944
36,32.0,2000,1e-06,0.1,0.0001,SGM,[3],0.944
37,32.0,2000,1e-06,0.1,0.0,SGM,[3],0.9359999999999999
38,32.0,2000,1e-06,0.1,0.001,SGM,[3],0.9359999999999999
39,32.0,2000,1e-06,0.7,0.0,SGM,[3],0.9359999999999999
40,,2000,1e-06,0.7,0.01,SGM,[3],0.9359999999999999
41,32.0,2000,1e-06,0.5,0.001,SGM,[5],0.9280000000000002
42,32.0,2000,1e-06,0.6,0.01,SGM,[5],0.9280000000000002
43,32.0,2000,1e-06,0.6,0.001,SGM,[5],0.9280000000000002
44,32.0,2000,1e-06,0.3,0.01,SGM,[2],0.9279999999999999
45,,2000,1e-06,0.7,0.0,SGM,[5],0.9120000000000001
46,,2000,1e-06,0.7,0.0001,SGM,[5],0.9120000000000001
47,32.0,2000,1e-06,0.1,0.001,SGM,[2],0.9119999999999999
48,32.0,2000,1e-06,0.1,0.01,SGM,[2],0.9119999999999999
49,,2000,1e-06,0.5,0.01,SGM,[5],0.9039999999999999
