,activation,alpha,batch_size,hidden_layer_sizes,learning_rate_init,max_iter,solver,tol,Validation accuracy
0,logistic,0.001,10.0,"[3, 5]",0.001,5000,adam,1e-06,0.992
1,logistic,0.001,10.0,"[3, 5]",0.005,5000,adam,1e-06,0.992
2,logistic,0.001,10.0,"[3, 5]",0.01,5000,adam,1e-06,0.992
3,logistic,0.001,10.0,"[3, 5]",0.05,5000,adam,1e-06,0.992
4,logistic,0.001,10.0,"[3, 5]",0.1,5000,adam,1e-06,0.992
5,logistic,0.001,64.0,"[3, 5]",0.1,5000,adam,1e-06,0.8960000000000001
6,logistic,0.001,64.0,"[3, 5]",0.05,5000,adam,1e-06,0.8960000000000001
7,logistic,0.001,64.0,"[3, 5]",0.01,5000,adam,1e-06,0.8960000000000001
8,logistic,0.001,64.0,"[3, 5]",0.005,5000,adam,1e-06,0.8960000000000001
9,logistic,0.001,64.0,"[3, 5]",0.001,5000,adam,1e-06,0.8960000000000001
10,logistic,0.001,32.0,"[3, 5]",0.1,5000,adam,1e-06,0.8959999999999999
11,logistic,0.001,32.0,"[3, 5]",0.05,5000,adam,1e-06,0.8959999999999999
12,logistic,0.001,32.0,"[3, 5]",0.01,5000,adam,1e-06,0.8959999999999999
13,logistic,0.001,32.0,"[3, 5]",0.005,5000,adam,1e-06,0.8959999999999999
14,logistic,0.001,32.0,"[3, 5]",0.001,5000,adam,1e-06,0.8959999999999999
15,logistic,0.001,,"[3, 5]",0.001,5000,adam,1e-06,0.8880000000000001
16,logistic,0.001,,"[3, 5]",0.005,5000,adam,1e-06,0.8880000000000001
17,logistic,0.001,,"[3, 5]",0.01,5000,adam,1e-06,0.8880000000000001
18,logistic,0.001,,"[3, 5]",0.05,5000,adam,1e-06,0.8880000000000001
19,logistic,0.001,,"[3, 5]",0.1,5000,adam,1e-06,0.8880000000000001
