,activation,batch_size,epochs,eps,eta,lmbda,optimizer,sizes,Validation accuracy
0,sigmoid,10.0,1000,0.0001,0.1,0.0,Adam,"[5, 3]",0.9294117647058823
1,sigmoid,10.0,1000,0.0001,0.01,0.0,Adam,"[5, 3]",0.9294117647058823
2,sigmoid,10.0,1000,0.0001,0.0001,0.0,Adam,"[5, 3]",0.9294117647058823
3,sigmoid,10.0,1000,0.0001,0.005,0.0,Adam,"[5, 3]",0.9294117647058823
4,sigmoid,10.0,1000,0.0001,0.001,0.0,Adam,"[5, 3]",0.9294117647058823
5,sigmoid,10.0,1000,0.0001,0.05,0.0,Adam,"[5, 3]",0.9294117647058823
6,sigmoid,10.0,1000,0.0001,0.001,0.0001,Adam,"[5, 3]",0.9235294117647058
7,sigmoid,10.0,1000,0.0001,0.005,0.0001,Adam,"[5, 3]",0.9235294117647058
8,sigmoid,10.0,1000,0.0001,0.0001,0.0001,Adam,"[5, 3]",0.9235294117647058
9,sigmoid,10.0,1000,0.0001,0.1,0.0001,Adam,"[5, 3]",0.9235294117647058
10,sigmoid,10.0,1000,0.0001,0.01,0.0001,Adam,"[5, 3]",0.9235294117647058
11,sigmoid,10.0,1000,0.0001,0.05,0.0001,Adam,"[5, 3]",0.9235294117647058
12,sigmoid,10.0,1000,0.0001,0.001,0.0,Adam,"[10, 5]",0.9117647058823529
13,sigmoid,10.0,1000,0.0001,0.01,0.0,Adam,"[10, 5]",0.9117647058823529
14,sigmoid,10.0,1000,0.0001,0.005,0.0,Adam,"[10, 5]",0.9117647058823529
15,sigmoid,10.0,1000,0.0001,0.0001,0.0,Adam,"[10, 5]",0.9117647058823529
16,sigmoid,10.0,1000,0.0001,0.1,0.0,Adam,"[10, 5]",0.9117647058823529
17,sigmoid,10.0,1000,0.0001,0.05,0.0,Adam,"[10, 5]",0.9117647058823529
18,sigmoid,10.0,1000,0.0001,0.1,0.0001,Adam,"[10, 5]",0.8941176470588236
19,sigmoid,10.0,1000,0.0001,0.0001,0.0001,Adam,"[10, 5]",0.8941176470588236
20,sigmoid,10.0,1000,0.0001,0.01,0.0001,Adam,"[10, 5]",0.8941176470588236
21,sigmoid,10.0,1000,0.0001,0.05,0.0001,Adam,"[10, 5]",0.8941176470588236
22,sigmoid,10.0,1000,0.0001,0.001,0.0001,Adam,"[10, 5]",0.8941176470588236
23,sigmoid,10.0,1000,0.0001,0.005,0.0001,Adam,"[10, 5]",0.8941176470588236
24,sigmoid,10.0,1000,0.0001,0.005,0.0,Adam,"[10, 10]",0.8705882352941176
25,sigmoid,10.0,1000,0.0001,0.01,0.0,Adam,"[10, 10]",0.8705882352941176
26,sigmoid,10.0,1000,0.0001,0.0001,0.0,Adam,"[10, 10]",0.8705882352941176
27,sigmoid,10.0,1000,0.0001,0.001,0.0,Adam,"[10, 10]",0.8705882352941176
28,sigmoid,10.0,1000,0.0001,0.1,0.0,Adam,"[10, 10]",0.8705882352941176
29,sigmoid,10.0,1000,0.0001,0.05,0.0,Adam,"[10, 10]",0.8705882352941176
30,sigmoid,10.0,1000,0.0001,0.1,0.0,Adam,"[2, 3]",0.8647058823529413
