,activation,batch_size,epochs,eps,eta,lmbda,momentum,nesterov,optimizer,sizes,Validation accuracy
0,Lrelu,,2000,1e-06,0.7,0.01,0.9,False,SGD,[5],1.0
1,Lrelu,32.0,2000,1e-06,0.7,0.0,0.5,True,SGD,[3],1.0
2,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.9,False,SGD,[5],1.0
3,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.0,False,SGD,[3],1.0
4,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.9,False,SGD,[3],1.0
5,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.9,True,SGD,[3],1.0
6,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.5,True,SGD,[3],1.0
7,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.5,False,SGD,[3],1.0
8,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.5,True,SGD,[3],1.0
9,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.5,False,SGD,[3],1.0
10,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.0,False,SGD,[3],1.0
11,Lrelu,32.0,2000,1e-06,0.7,0.0001,0.0,True,SGD,[3],1.0
12,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.9,True,SGD,[3],1.0
13,Lrelu,32.0,2000,1e-06,0.7,0.0,0.9,False,SGD,[5],1.0
14,Lrelu,32.0,2000,1e-06,0.7,0.0,0.9,False,SGD,[3],1.0
15,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.9,False,SGD,[3],1.0
16,Lrelu,32.0,2000,1e-06,0.7,0.0,0.5,False,SGD,[3],1.0
17,Lrelu,32.0,2000,1e-06,0.7,0.001,0.0,True,SGD,[3],1.0
18,Lrelu,32.0,2000,1e-06,0.1,0.0001,0.0,True,SGD,[3],1.0
19,Lrelu,32.0,2000,1e-06,0.7,0.001,0.0,False,SGD,[3],1.0
20,Lrelu,32.0,2000,1e-06,0.7,0.01,0.0,False,SGD,[3],1.0
21,Lrelu,32.0,2000,1e-06,0.5,0.0,0.5,True,SGD,[3],1.0
22,Lrelu,32.0,2000,1e-06,0.1,0.0,0.0,False,SGD,[3],1.0
23,Lrelu,,2000,1e-06,0.7,0.01,0.5,False,SGD,[3],1.0
24,Lrelu,32.0,2000,1e-06,0.7,0.01,0.5,False,SGD,[3],1.0
25,Lrelu,32.0,2000,1e-06,0.1,0.0,0.5,True,SGD,[3],1.0
26,Lrelu,32.0,2000,1e-06,0.7,0.01,0.5,True,SGD,[3],1.0
27,Lrelu,32.0,2000,1e-06,0.1,0.0,0.5,False,SGD,[3],1.0
28,Lrelu,32.0,2000,1e-06,0.7,0.001,0.5,True,SGD,[3],1.0
29,Lrelu,32.0,2000,1e-06,0.7,0.01,0.0,True,SGD,[3],1.0
30,Lrelu,32.0,2000,1e-06,0.7,0.001,0.9,False,SGD,[5],1.0
31,Lrelu,32.0,2000,1e-06,0.1,0.0,0.9,True,SGD,[3],1.0
32,Lrelu,32.0,2000,1e-06,0.7,0.001,0.9,False,SGD,[3],1.0
33,Lrelu,32.0,2000,1e-06,0.7,0.001,0.5,False,SGD,[3],1.0
34,Lrelu,32.0,2000,1e-06,0.1,0.0,0.9,False,SGD,[3],1.0
35,Lrelu,32.0,2000,1e-06,0.1,0.001,0.0,True,SGD,[3],1.0
36,Lrelu,32.0,2000,1e-06,0.7,0.0,0.0,False,SGD,[3],1.0
37,Lrelu,32.0,2000,1e-06,0.1,0.0,0.0,True,SGD,[3],1.0
38,Lrelu,32.0,2000,1e-06,0.1,0.001,0.0,False,SGD,[3],1.0
39,Lrelu,32.0,2000,1e-06,0.1,0.01,0.5,True,SGD,[3],1.0
40,Lrelu,32.0,2000,1e-06,0.5,0.001,0.0,True,SGD,[3],1.0
41,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.9,False,SGD,[3],1.0
42,Lrelu,32.0,2000,1e-06,0.1,0.01,0.5,False,SGD,[3],1.0
43,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.9,True,SGD,[3],1.0
44,Lrelu,32.0,2000,1e-06,0.1,0.01,0.9,True,SGD,[3],1.0
45,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.5,False,SGD,[3],1.0
46,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.5,True,SGD,[3],1.0
47,Lrelu,32.0,2000,1e-06,0.1,0.01,0.9,False,SGD,[3],1.0
48,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.0,False,SGD,[3],1.0
49,Lrelu,32.0,2000,1e-06,0.5,0.0001,0.0,True,SGD,[3],1.0
50,Lrelu,32.0,2000,1e-06,0.5,0.0,0.0,True,SGD,[3],1.0
51,Lrelu,32.0,2000,1e-06,0.5,0.0,0.9,False,SGD,[3],1.0
52,Lrelu,32.0,2000,1e-06,0.5,0.0,0.0,False,SGD,[3],1.0
53,Lrelu,32.0,2000,1e-06,0.5,0.0,0.9,True,SGD,[3],1.0
54,Lrelu,32.0,2000,1e-06,0.5,0.001,0.0,False,SGD,[3],1.0
55,Lrelu,32.0,2000,1e-06,0.5,0.001,0.5,True,SGD,[3],1.0
56,Lrelu,32.0,2000,1e-06,0.5,0.001,0.5,False,SGD,[3],1.0
57,Lrelu,32.0,2000,1e-06,0.5,0.01,0.5,False,SGD,[3],1.0
58,Lrelu,32.0,2000,1e-06,0.7,0.0,0.0,True,SGD,[3],1.0
59,Lrelu,32.0,2000,1e-06,0.5,0.01,0.9,False,SGD,[5],1.0
60,Lrelu,32.0,2000,1e-06,0.1,0.001,0.5,True,SGD,[3],1.0
61,Lrelu,32.0,2000,1e-06,0.5,0.01,0.9,False,SGD,[3],1.0
62,Lrelu,32.0,2000,1e-06,0.1,0.001,0.5,False,SGD,[3],1.0
63,Lrelu,32.0,2000,1e-06,0.5,0.01,0.9,True,SGD,[3],1.0
64,Lrelu,32.0,2000,1e-06,0.1,0.001,0.9,True,SGD,[3],1.0
65,Lrelu,32.0,2000,1e-06,0.5,0.001,0.9,True,SGD,[3],1.0
66,Lrelu,32.0,2000,1e-06,0.5,0.01,0.5,True,SGD,[3],1.0
67,Lrelu,32.0,2000,1e-06,0.5,0.01,0.0,False,SGD,[3],1.0
68,Lrelu,32.0,2000,1e-06,0.1,0.001,0.9,False,SGD,[3],1.0
69,Lrelu,32.0,2000,1e-06,0.5,0.01,0.0,True,SGD,[3],1.0
70,Lrelu,32.0,2000,1e-06,0.5,0.001,0.9,False,SGD,[5],1.0
71,Lrelu,32.0,2000,1e-06,0.5,0.001,0.9,False,SGD,[3],1.0
72,Lrelu,32.0,2000,1e-06,0.7,0.01,0.9,False,SGD,[5],1.0
73,Lrelu,32.0,2000,1e-06,0.7,0.01,0.9,False,SGD,[3],1.0
74,Lrelu,,2000,1e-06,0.7,0.01,0.9,True,SGD,[3],1.0
75,Lrelu,,2000,1e-06,0.5,0.01,0.5,True,SGD,[3],1.0
76,Lrelu,,2000,1e-06,0.7,0.01,0.9,True,SGD,[5],1.0
77,Lrelu,,2000,1e-06,0.7,0.0001,0.0,False,SGD,[3],1.0
78,Lrelu,,2000,1e-06,0.7,0.0001,0.0,True,SGD,[3],1.0
79,Lrelu,,2000,1e-06,0.7,0.0,0.9,False,SGD,[3],1.0
80,Lrelu,,2000,1e-06,0.7,0.0,0.9,True,SGD,[5],1.0
81,Lrelu,,2000,1e-06,0.7,0.0,0.9,True,SGD,[3],1.0
82,Lrelu,,2000,1e-06,0.7,0.0,0.5,False,SGD,[3],1.0
83,Lrelu,,2000,1e-06,0.7,0.0,0.5,True,SGD,[3],1.0
84,Lrelu,,2000,1e-06,0.7,0.0,0.0,False,SGD,[3],1.0
85,Lrelu,,2000,1e-06,0.7,0.0,0.0,True,SGD,[3],1.0
86,Lrelu,32.0,2000,1e-06,0.01,0.0001,0.9,True,SGD,[3],1.0
87,Lrelu,,2000,1e-06,0.5,0.01,0.9,False,SGD,[3],1.0
88,Lrelu,,2000,1e-06,0.5,0.01,0.9,True,SGD,[5],1.0
89,Lrelu,32.0,2000,1e-06,0.01,0.0001,0.9,False,SGD,[3],1.0
90,Lrelu,,2000,1e-06,0.1,0.0,0.9,True,SGD,[3],1.0
91,Lrelu,,2000,1e-06,0.7,0.0001,0.5,True,SGD,[3],1.0
92,Lrelu,,2000,1e-06,0.7,0.0001,0.5,False,SGD,[3],1.0
93,Lrelu,,2000,1e-06,0.7,0.0001,0.9,True,SGD,[3],1.0
94,Lrelu,,2000,1e-06,0.7,0.001,0.9,True,SGD,[3],1.0
95,Lrelu,,2000,1e-06,0.7,0.01,0.5,True,SGD,[3],1.0
96,Lrelu,,2000,1e-06,0.7,0.01,0.9,False,SGD,[3],1.0
97,Lrelu,,2000,1e-06,0.7,0.01,0.0,False,SGD,[3],1.0
98,Lrelu,,2000,1e-06,0.7,0.01,0.0,True,SGD,[3],1.0
99,Lrelu,,2000,1e-06,0.7,0.001,0.9,False,SGD,[3],1.0
100,Lrelu,,2000,1e-06,0.7,0.001,0.9,True,SGD,[5],1.0
101,Lrelu,,2000,1e-06,0.7,0.001,0.5,False,SGD,[3],1.0
102,Lrelu,,2000,1e-06,0.7,0.0001,0.9,True,SGD,[5],1.0
103,Lrelu,,2000,1e-06,0.7,0.001,0.5,True,SGD,[3],1.0
104,Lrelu,,2000,1e-06,0.7,0.001,0.0,False,SGD,[3],1.0
105,Lrelu,32.0,2000,1e-06,0.01,0.0,0.9,True,SGD,[3],1.0
